"Anodizado"
"Fecha: 10-Jan-2014 10:20:27"
""
"6.000000e+001	3.706840e-003"
"6.000000e+001	3.696530e-003"
"6.000000e+001	3.696000e-003"
"6.000000e+001	3.693850e-003"
"6.000000e+001	3.691990e-003"
"6.000000e+001	3.666520e-003"
"6.000000e+001	3.672450e-003"
"6.000000e+001	3.696990e-003"
"6.000000e+001	3.694280e-003"
"6.000000e+001	3.696320e-003"
"6.000000e+001	3.695690e-003"
"6.000000e+001	3.700010e-003"
"6.000000e+001	3.661670e-003"
"6.000000e+001	3.682490e-003"
"6.000000e+001	3.692640e-003"
"6.000000e+001	3.695740e-003"
"6.000000e+001	3.693810e-003"
"6.000000e+001	3.694530e-003"
"6.000000e+001	3.666620e-003"
"6.000000e+001	3.660750e-003"
"6.000000e+001	3.693800e-003"
"6.000000e+001	3.690950e-003"
"6.000000e+001	3.689450e-003"
"6.000000e+001	3.688790e-003"
"6.000000e+001	3.681110e-003"
"6.000000e+001	3.643650e-003"
"6.000000e+001	3.659180e-003"
"6.000000e+001	3.688110e-003"
"6.000000e+001	3.687750e-003"
"6.000000e+001	3.684950e-003"
"6.000000e+001	3.680330e-003"
"6.000000e+001	3.668660e-003"
"6.000000e+001	3.641550e-003"
"6.000000e+001	3.669530e-003"
"6.000000e+001	3.687910e-003"
"6.000000e+001	3.688700e-003"
"6.000000e+001	3.685390e-003"
"6.000000e+001	3.683230e-003"
"6.000000e+001	3.671230e-003"
"6.000000e+001	3.646040e-003"
"6.000000e+001	3.664920e-003"
"6.000000e+001	3.693150e-003"
"6.000000e+001	3.683210e-003"
"6.000000e+001	3.686600e-003"
"6.000000e+001	3.682470e-003"
"6.000000e+001	3.674690e-003"
"6.000000e+001	3.640840e-003"
"6.000000e+001	3.674140e-003"
"6.000000e+001	3.677650e-003"
"6.000000e+001	3.681830e-003"
"6.000000e+001	3.679560e-003"
"6.000000e+001	3.681780e-003"
"6.000000e+001	3.664900e-003"
"6.000000e+001	3.637980e-003"
"6.000000e+001	3.666480e-003"
"6.000000e+001	3.676970e-003"
"6.000000e+001	3.672950e-003"
"6.000000e+001	3.673930e-003"
"6.000000e+001	3.672440e-003"
"6.000000e+001	3.644850e-003"
